date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:22	15000/15000	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e02132-3a98%22	http://cdn2.editmysite.com/fonts/Montserrat/bold.eot?	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Montserrat/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
10:07:22	16048/16048	---M--	200	added ('OK')	font/woff	etag:%2263d840f5-3eb0%22	http://cdn2.editmysite.com/fonts/Montserrat/bold.woff	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Montserrat/bold.woff	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
10:07:24	31388/31388	---M-Z	200	added ('OK')	application/octet-stream	etag:%2263cb2456-7a9c%22	http://cdn2.editmysite.com/fonts/Montserrat/bold.ttf	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Montserrat/bold.ttf	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
10:07:25	19860/19860	---M--	200	added ('OK')	font/woff2	etag:%2263e2899b-4d94%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.woff2	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/regular.woff2	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:25	23138/23138	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e2899b-5a62%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.eot	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/regular.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:26	23764/23764	---M--	200	added ('OK')	font/woff	etag:%2263d840f6-5cd4%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.woff	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/regular.woff	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:27	23138/23138	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e2899b-5a62%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.eot?	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/regulard41d.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:30	48460/48460	---M-Z	200	added ('OK')	application/octet-stream	etag:%2263e1437d-bd4c%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.ttf	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/regular.ttf	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:30	20968/20968	---M--	200	added ('OK')	font/woff2	etag:%2263d840f6-51e8%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.woff2	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/bold.woff2	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:30	24721/24721	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263d840f6-6091%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.eot	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/bold.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:31	25168/25168	---M--	200	added ('OK')	font/woff	etag:%2263d840f6-6250%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.woff	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/bold.woff	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:34	24721/24721	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e2899b-6091%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.eot?	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:34	22559/22559	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e1437d-581f%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.eot	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/italic.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:34	48504/48504	---M-Z	200	added ('OK')	application/octet-stream	etag:%2263d840f6-bd78%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.ttf	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/bold.ttf	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:34	19852/19852	---M--	200	added ('OK')	font/woff2	etag:%2263d2a0b7-4d8c%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.woff2	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/italic.woff2	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
10:07:37	22559/22559	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263d840f6-581f%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.eot?	C:/My%20Web%20Sites/techno/cdn2.editmysite.com/fonts/Playfair_Display/italicd41d.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
